Baseline,Param_setting,MAP,MAP_C1,MAP_C2
2,,0.7461545126294665,,
3,,0.6971077471053264,,
4,0.0,0.7823998789303424,,
4,0.0001,0.7297805265416284,,
4,0.001,0.7564013573267238,,
4,0.01,0.7883099325245163,,
4,0.1,0.7993235308702006,,
4,1.0,0.7731373782269857,,
4,10.0,0.7238586474317459,,
4,20.0,0.7133078491004919,,
4,50.0,0.7047453177960986,,
4,100.0,0.7008154691915867,,
5,0.001,0.7588969992746144,,
5,0.01,0.7405874037348275,,
5,0.1,0.7238843494685543,,
5,1.0,0.6960511189027594,,
5,10.0,0.6442946741196516,,
5,15.0,0.6341888381349312,,
5,20.0,0.6279755629222702,,
5,50.0,0.5960759500327637,,
5,100.0,0.5712927982367965,,
5,500.0,0.5474126107969618,,
6,,0.6311763180489074,0.637333858044956,0.6050674876388146
7,0.001,0.6507114734257264,0.661275050574459,0.6234137180057477
7,0.01,0.6298342389942526,0.6216325734402394,0.6252884809301414
7,0.1,0.6077746460865516,0.5991570535413299,0.6115047602008987
7,1.0,0.5837545767969464,0.5749680691013108,0.5880237168131082
7,10.0,0.5555328500732619,0.5454742148710968,0.5555017596251683
7,15.0,0.5539042731402857,0.5462458404264338,0.5433961831447389
7,20.0,0.5528846987698326,0.5428101911451853,0.5590544712138236
7,50.0,0.5432268549252484,0.535307163976508,0.5396167226995315
7,100.0,0.5322674556781046,0.5259210067982638,0.5242709002375991
7,500.0,0.5218140578779682,0.5156051512088019,0.5106302178686167
