Baseline,Param_setting,MAP,MAP_C1,MAP_C2
2,,0.22043554097641727,,
3,,0.8295974479045648,,
4,0.0,0.2274881091286056,,
4,0.0001,0.16847276255716034,,
4,0.001,0.17259457455540236,,
4,0.01,0.2119815626618549,,
4,0.1,0.2269288392517889,,
4,1.0,0.25832534990379624,,
4,10.0,0.33112857813832136,,
4,20.0,0.3247850004740094,,
4,50.0,0.3089335168054996,,
4,100.0,0.2956409946987013,,
5,0.001,0.27395741506437843,,
5,0.01,0.209495919831937,,
5,0.1,0.19820039734117192,,
5,1.0,0.2480493627371711,,
5,10.0,0.3672080392844396,,
5,15.0,0.3941610100990593,,
5,20.0,0.4140655095765157,,
5,50.0,0.4886150368094689,,
5,100.0,0.5418369122395765,,
5,500.0,0.5416029197292578,,
6,,0.5970520967492012,0.7168182727972576,0.3154487667668217
7,0.001,0.5820087535694636,0.6816628151557039,0.34305457474338125
7,0.01,0.5911985311467991,0.7261322516306451,0.3262119155575954
7,0.1,0.591563452180684,0.7314457392281853,0.3174326607606444
7,1.0,0.6014580917807159,0.6999983874018946,0.3020191331992758
7,10.0,0.5871315337635137,0.6548026139551175,0.3498494901836226
7,15.0,0.5852025864688629,0.6533176884324544,0.36124449229166616
7,20.0,0.5866704256160742,0.6510869399877919,0.373736138190159
7,50.0,0.57415004982859,0.6212373074671254,0.4138262788684344
7,100.0,0.5509505328165502,0.5749774423468511,0.4391716106173855
7,500.0,0.5248249248776456,0.5292701139814012,0.4846561224099826
