avg_precision,c1_avg_precision,c2_avg_precision,Baseline,Param_setting
0.8208859785242356,,,2,NA
0.8479983858344068,,,3,NA
0.6988052390196181,0.727771780048549,0.6244101918474597,6,NA
0.8604243667475387,,,4,0.0001
0.8351029819471113,,,4,0.001
0.7943792099567147,,,4,0.01
0.7808809028615468,,,4,0.1
0.7814969533635314,,,4,0.0
0.7441611723099841,,,4,1.0
0.6755357144934986,,,4,10.0
0.6801636004824623,,,4,20.0
0.6953990721525142,,,4,50.0
0.7085416955296666,,,4,100.0
0.7526703736586682,,,5,0.001
0.7970861067263436,,,5,0.01
0.8185877084775965,,,5,0.1
0.8379886548614596,,,5,1.0
0.801555844163252,,,5,10
0.7910326503795747,,,5,15
0.7820928514276535,,,5,20
0.7355331491363235,,,5,50
0.6771780750183878,,,5,100
0.5785170777910067,,,5,500
0.6582874748447278,0.6875094784202653,0.566846201395688,7,0.001
0.6953050845694999,0.7272330776510407,0.6162269604056909,7,0.01
0.7059655278895997,0.7360427151164302,0.6325667460221366,7,0.1
0.7098038951138861,0.7327876335281515,0.6332490750971015,7,1.0
0.6773437581754547,0.6910323797159731,0.6134268937390944,7,10
0.6687028036910787,0.6868027332771637,0.5951131823177037,7,15
0.6605845494444148,0.6754146488871235,0.5977799233553703,7,20
0.6331995274904304,0.642837254125609,0.5754956818599005,7,50
0.5860330361403117,0.5900371741897307,0.534888806834947,7,100
0.5335061991833858,0.5300033397765418,0.5066022758715054,7,500
